#timeI (float32)[1],PositionR (float32)[1],PositionZ (float32)[1]
0.04310575,0.08500000,0.08500000
0.04320576,0.08500000,0.08500000
0.04330578,0.08500000,0.08500000
0.04340579,0.08500000,0.08500000
0.04350581,0.08500000,0.08500000
0.04360582,0.08500000,0.08500000
0.04370583,0.08500000,0.08500000
0.04380584,0.08500000,0.08500000
0.04390586,0.08500000,0.08500000
0.04400587,0.08500000,0.08500000
0.04410588,0.08500000,0.08500000
0.04420589,0.08500000,0.08500000
0.04430591,0.08500000,0.08500000
0.04440592,0.08500000,0.08500000
0.04450594,0.08500000,0.08500000
0.04460595,0.08500000,0.08500000
0.04470596,0.08500000,0.08500000
0.04480597,0.08500000,0.08500000
0.04490599,0.08500000,0.08500000
0.04500600,0.08500000,0.08500000
0.04510601,0.08500000,0.08500000
0.04520603,0.08500000,0.08500000
0.04530604,0.08500000,0.08500000
0.04540605,0.08500000,0.08500000
0.04550607,0.08500000,0.08500000
0.04560608,0.08500000,0.08500000
0.04570609,0.08500000,0.08500000
0.04580611,0.08500000,0.08500000
0.04590612,0.08500000,0.08500000
0.04600613,0.08500000,0.08500000
0.04610614,0.08500000,0.08500000
0.04620616,0.08500000,0.08500000
0.04630617,0.08500000,0.08500000
0.04640618,0.08500000,0.08500000
0.04650620,0.08500000,0.08500000
0.04660621,0.08500000,0.08500000
0.04670622,0.08500000,0.08500000
0.04680624,0.08500000,0.08500000
0.04690625,0.08500000,0.08500000
0.04700626,0.08500000,0.08500000
0.04710627,0.08500000,0.08500000
0.04720629,0.08500000,0.08500000
0.04730630,0.08500000,0.08500000
0.04740631,0.08500000,0.08500000
0.04750632,0.08500000,0.08500000
0.04760634,0.08500000,0.08500000
0.04770635,0.08500000,0.08500000
0.04780637,0.08500000,0.08500000
0.04790638,0.08500000,0.08500000
0.04800639,0.08500000,0.08500000
0.04810640,0.08500000,0.08500000
0.04820642,0.08500000,0.08500000
0.04830643,0.08500000,0.08500000
0.04840644,0.08500000,0.08500000
0.04850646,0.08500000,0.08500000
0.04860647,0.08500000,0.08500000
0.04870648,0.08500000,0.08500000
0.04880650,0.08500000,0.08500000
0.04890651,0.08500000,0.08500000
0.04900652,0.08500000,0.08500000
0.04910654,0.08500000,0.08500000
0.04920655,0.08500000,0.08500000
0.04930656,0.08500000,0.08500000
0.04940657,0.08500000,0.08500000
0.04950659,0.08500000,0.08500000
0.04960660,0.08500000,0.08500000
0.04970662,0.08500000,0.08500000
0.04980663,0.08500000,0.08500000
0.04990664,0.08500000,0.08500000
0.05000665,0.08500000,0.08500000
0.05010667,0.08500000,0.08500000
0.05020668,0.08500000,0.08500000
0.05030669,0.08500000,0.08500000
0.05040670,0.08500000,0.08500000
0.05050672,0.08500000,0.08500000
0.05060673,0.08500000,0.08500000
0.05070675,0.08500000,0.08500000
0.05080676,0.08500000,0.08500000
0.05090677,0.08500000,0.08500000
0.05100678,0.08500000,0.08500000
0.05110680,0.08500000,0.08500000
0.05120681,0.08500000,0.08500000
0.05130682,0.08500000,0.08500000
0.05140683,0.08500000,0.08500000
0.05150685,0.08500000,0.08500000
0.05160686,0.08500000,0.08500000
0.05170687,0.08500000,0.08500000
0.05180689,0.08500000,0.08500000
0.05190690,0.08500000,0.08500000
0.05200691,0.08500000,0.08500000
0.05210693,0.08500000,0.08500000
0.05220694,0.08500000,0.08500000
0.05230695,0.08500000,0.08500000
0.05240697,0.08500000,0.08500000
0.05250698,0.08500000,0.08500000
0.05260699,0.08500000,0.08500000
0.05270700,0.08500000,0.08500000
0.05280702,0.08500000,0.08500000
0.05290703,0.08500000,0.08500000
0.05300705,0.08500000,0.08500000
0.05310706,0.08500000,0.08500000
0.05320707,0.08500000,0.08500000
0.05330708,0.08500000,0.08500000
0.05340710,0.08500000,0.08500000
0.05350711,0.08500000,0.08500000
0.05360712,0.08500000,0.08500000
0.05370713,0.08500000,0.08500000
0.05380715,0.08500000,0.08500000
0.05390716,0.08500000,0.08500000
0.05400718,0.08500000,0.08500000
0.05410719,0.08500000,0.08500000
0.05420720,0.08500000,0.08500000
0.05430721,0.08500000,0.08500000
0.05440723,0.08500000,0.08500000
0.05450724,0.08500000,0.08500000
0.05460725,0.08500000,0.08500000
0.05470726,0.08500000,0.08500000
0.05480728,0.08500000,0.08500000
0.05490729,0.08500000,0.08500000
0.05500731,0.08500000,0.08500000
0.05510732,0.08500000,0.08500000
0.05520733,0.08500000,0.08500000
0.05530734,0.08500000,0.08500000
0.05540736,0.08500000,0.08500000
0.05550737,0.08500000,0.08500000
0.05560738,0.08500000,0.08500000
0.05570740,0.08500000,0.08500000
0.05580741,0.08500000,0.08500000
0.05590742,0.08500000,0.08500000
0.05600743,0.08500000,0.08500000
0.05610745,0.08500000,0.08500000
0.05620746,0.08500000,0.08500000
0.05630748,0.08500000,0.08500000
0.05640749,0.08500000,0.08500000
0.05650750,0.08500000,0.08500000
0.05660751,0.08500000,0.08500000
0.05670753,0.08500000,0.08500000
0.05680754,0.08500000,0.08500000
0.05690755,0.08500000,0.08500000
0.05700756,0.08500000,0.08500000
0.05710758,0.08500000,0.08500000
0.05720759,0.08500000,0.08500000
