#Time (uint32)[1],WaterHeightReference_csv (float64)[1],WaterHeight_csv (float64)[1],PumpVoltageRequest_csv (float64)[1]
504000000,3.087785,1.747027,0
505000000,2.500000,10.500125,4.029940
506000000,1.912215,7.259735,0
507000000,1.548943,4.565346,0
508000000,1.548943,2.428679,0
509000000,1.912215,0.870257,0
510000000,2.500000,12.437381,5.000000
511000000,3.087785,8.910715,0
512000000,3.451057,5.925633,0
513000000,3.451057,3.491371,0
514000000,3.087785,1.622850,0
515000000,2.500000,11.953684,4.641898
516000000,1.912215,8.496275,0
517000000,1.548943,5.581438,0
518000000,1.548943,3.218931,0
519000000,1.912215,1.424793,0
520000000,2.500000,12.731146,5.000000
521000000,3.087785,9.163073,0
522000000,3.451057,6.136016,0
523000000,3.451057,3.658918,0
524000000,3.087785,1.746088,0
525000000,2.500000,10.511115,4.034569
526000000,1.912215,7.269030,0
527000000,1.548943,4.572916,0
528000000,1.548943,2.434479,0
529000000,1.912215,0.874197,0
530000000,2.500000,12.439212,5.000000
531000000,3.087785,8.912285,0
532000000,3.451057,5.926940,0
533000000,3.451057,3.492409,0
534000000,3.087785,1.623610,0
535000000,2.500000,11.944777,4.638151
536000000,1.912215,8.488656,0
537000000,1.548943,5.575126,0
538000000,1.548943,3.213956,0
539000000,1.912215,1.421205,0
540000000,2.500000,12.729062,5.000000
541000000,3.087785,9.161281,0
542000000,3.451057,6.134520,0
543000000,3.451057,3.657723,0
544000000,3.087785,1.745206,0
545000000,2.500000,10.521436,4.038917
546000000,1.912215,7.277760,0
547000000,1.548943,4.580027,0
548000000,1.548943,2.439927,0
549000000,1.912215,0.877901,0
550000000,2.500000,12.440937,5.000000
551000000,3.087785,8.913766,0
552000000,3.451057,5.928173,0
553000000,3.451057,3.493389,0
554000000,3.087785,1.624328,0
555000000,2.500000,11.936372,4.634614
556000000,1.912215,8.481466,0
557000000,1.548943,5.569170,0
558000000,1.548943,3.209261,0
559000000,1.912215,1.417820,0
560000000,2.500000,12.727098,5.000000
561000000,3.087785,9.159592,0
562000000,3.451057,6.133110,0
563000000,3.451057,3.656598,0
564000000,3.087785,1.744375,0
565000000,2.500000,10.531160,4.043013
566000000,1.912215,7.285986,0
567000000,1.548943,4.586729,0
568000000,1.548943,2.445064,0
569000000,1.912215,0.881394,0
570000000,2.500000,12.442568,5.000000
571000000,3.087785,8.915165,0
572000000,3.451057,5.929338,0
573000000,3.451057,3.494314,0
574000000,3.087785,1.625006,0
575000000,2.500000,11.928438,4.631276
576000000,1.912215,8.474681,0
577000000,1.548943,5.563550,0
578000000,1.548943,3.204833,0
579000000,1.912215,1.414628,0
580000000,2.500000,12.725247,5.000000
581000000,3.087785,9.158000,0
582000000,3.451057,6.131781,0
583000000,3.451057,3.655538,0
584000000,3.087785,1.743592,0
585000000,2.500000,10.540321,4.046872
586000000,1.912215,7.293735,0
587000000,1.548943,4.593043,0
588000000,1.548943,2.449905,0
589000000,1.912215,0.884688,0
590000000,2.500000,12.444109,5.000000
591000000,3.087785,8.916488,0
592000000,3.451057,5.930440,0
593000000,3.451057,3.495190,0
594000000,3.087785,1.625647,0
595000000,2.500000,11.920924,4.628114
596000000,1.912215,8.468255,0
597000000,1.548943,5.558228,0
598000000,1.548943,3.200639,0
599000000,1.912215,1.411606,0
600000000,2.500000,12.723496,5.000000
601000000,3.087785,9.156495,0
602000000,3.451057,6.130524,0
603000000,3.451057,3.654535,0
604000000,3.087785,1.742851,0
605000000,2.500000,10.548993,4.050525
606000000,1.912215,7.301072,0
607000000,1.548943,4.599022,0
608000000,1.548943,2.454489,0
609000000,1.912215,0.887808,0
610000000,2.500000,12.445572,5.000000
611000000,3.087785,8.917744,0
612000000,3.451057,5.931485,0
613000000,3.451057,3.496021,0
614000000,3.087785,1.626256,0
615000000,2.500000,11.913797,4.625115
616000000,1.912215,8.462160,0
617000000,1.548943,5.553180,0
618000000,1.548943,3.196661,0
619000000,1.912215,1.408741,0
620000000,2.500000,12.721837,5.000000
621000000,3.087785,9.155069,0
622000000,3.451057,6.129334,0
623000000,3.451057,3.653585,0
624000000,3.087785,1.742149,0
625000000,2.500000,10.557202,4.053983
626000000,1.912215,7.308017,0
627000000,1.548943,4.604682,0
628000000,1.548943,2.458830,0
629000000,1.912215,0.890764,0
630000000,2.500000,12.446961,5.000000
631000000,3.087785,8.918936,0
632000000,3.451057,5.932478,0
633000000,3.451057,3.496810,0
634000000,3.087785,1.626834,0
635000000,2.500000,11.907029,4.622267
636000000,1.912215,8.456372,0
637000000,1.548943,5.548388,0
638000000,1.548943,3.192886,0
639000000,1.912215,1.406021,0
640000000,2.500000,12.720264,5.000000
641000000,3.087785,9.153716,0
642000000,3.451057,6.128205,0
643000000,3.451057,3.652684,0
644000000,3.087785,1.741484,0
645000000,2.500000,10.564983,4.057261
646000000,1.912215,7.314602,0
647000000,1.548943,4.610050,0
648000000,1.548943,2.462947,0
649000000,1.912215,0.893569,0
650000000,2.500000,12.448281,5.000000
651000000,3.087785,8.920069,0
652000000,3.451057,5.933420,0
653000000,3.451057,3.497559,0
654000000,3.087785,1.627383,0
655000000,2.500000,11.900605,4.619565
656000000,1.912215,8.450880,0
657000000,1.548943,5.543840,0
658000000,1.548943,3.189304,0
659000000,1.912215,1.403442,0
660000000,2.500000,12.718772,5.000000
661000000,3.087785,9.152434,0
662000000,3.451057,6.127135,0
663000000,3.451057,3.651830,0
664000000,3.087785,1.740854,0
665000000,2.500000,10.572361,4.060368
666000000,1.912215,7.320843,0
667000000,1.548943,4.615138,0
668000000,1.548943,2.466851,0
669000000,1.912215,0.896230,0
670000000,2.500000,12.449536,5.000000
671000000,3.087785,8.921146,0
672000000,3.451057,5.934317,0
673000000,3.451057,3.498272,0
674000000,3.087785,1.627905,0
675000000,2.500000,11.894492,4.616992
676000000,1.912215,8.445653,0
677000000,1.548943,5.539512,0
678000000,1.548943,3.185896,0
679000000,1.912215,1.400988,0
680000000,2.500000,12.717355,5.000000
681000000,3.087785,9.151215,0
682000000,3.451057,6.126117,0
683000000,3.451057,3.651018,0
684000000,3.087785,1.740254,0
685000000,2.500000,10.579379,4.063325
686000000,1.912215,7.326784,0
687000000,1.548943,4.619980,0
688000000,1.548943,2.470566,0
689000000,1.912215,0.898763,0
690000000,2.500000,12.450732,5.000000
691000000,3.087785,8.922173,0
692000000,3.451057,5.935172,0
693000000,3.451057,3.498951,0
694000000,3.087785,1.628403,0
695000000,2.500000,11.888661,4.614539
696000000,1.912215,8.440668,0
697000000,1.548943,5.535384,0
698000000,1.548943,3.182644,0
699000000,1.912215,1.398648,0
700000000,2.500000,12.716003,5.000000
701000000,3.087785,9.150053,0
702000000,3.451057,6.125148,0
703000000,3.451057,3.650244,0
704000000,3.087785,1.739683,0
705000000,2.500000,10.586062,4.066140
706000000,1.912215,7.332439,0
707000000,1.548943,4.624592,0
708000000,1.548943,2.474105,0
709000000,1.912215,0.901176,0
710000000,2.500000,12.451873,5.000000
711000000,3.087785,8.923153,0
712000000,3.451057,5.935988,0
713000000,3.451057,3.499600,0
714000000,3.087785,1.628878,0
715000000,2.500000,11.883095,4.612197
716000000,1.912215,8.435909,0
717000000,1.548943,5.531445,0
718000000,1.548943,3.179542,0
719000000,1.912215,1.396415,0
720000000,2.500000,12.714715,5.000000
721000000,3.087785,9.148945,0
722000000,3.451057,6.124223,0
723000000,3.451057,3.649506,0
724000000,3.087785,1.739138,0
725000000,2.500000,10.592441,4.068827
726000000,1.912215,7.337838,0
727000000,1.548943,4.628994,0
728000000,1.548943,2.477484,0
729000000,1.912215,0.903482,0
730000000,2.500000,12.452965,5.000000
731000000,3.087785,8.924089,0
732000000,3.451057,5.936768,0
733000000,3.451057,3.500220,0
734000000,3.087785,1.629332,0
735000000,2.500000,11.877778,4.609959
736000000,1.912215,8.431363,0
737000000,1.548943,5.527682,0
738000000,1.548943,3.176580,0
739000000,1.912215,1.394284,0
740000000,2.500000,12.713486,5.000000
741000000,3.087785,9.147888,0
742000000,3.451057,6.123341,0
743000000,3.451057,3.648802,0
744000000,3.087785,1.738618,0
745000000,2.500000,10.598522,4.071388
746000000,1.912215,7.342984,0
747000000,1.548943,4.633190,0
748000000,1.548943,2.480705,0
749000000,1.912215,0.905680,0
750000000,2.500000,12.454008,5.000000
751000000,3.087785,8.924984,0
752000000,3.451057,5.937513,0
753000000,3.451057,3.500812,0
754000000,3.087785,1.629766,0
755000000,2.500000,11.872700,4.607823
756000000,1.912215,8.427021,0
757000000,1.548943,5.524088,0
758000000,1.548943,3.173750,0
759000000,1.912215,1.392248,0
760000000,2.500000,12.712312,5.000000
761000000,3.087785,9.146880,0
762000000,3.451057,6.122499,0
763000000,3.451057,3.648130,0
764000000,3.087785,1.738122,0
765000000,2.500000,10.604326,4.073833
766000000,1.912215,7.347898,0
767000000,1.548943,4.637197,0
768000000,1.548943,2.483782,0
769000000,1.912215,0.907780,0
770000000,2.500000,12.455005,5.000000
771000000,3.087785,8.925840,0
772000000,3.451057,5.938225,0
