#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1]
0.116825;-0.003321;-0.003117;-0.001619;-0.000494;-0.000275;0.000786;0.000886;0.000034;0.000617;0.000838;-0.000888;-0.002294;-5.632489;25.429100;16.009890;2.109132;-344.649786;0.584096;0.001855;0.437134;0.003867;0.443691;0.003949
0.116925;-0.003248;-0.002968;-0.001446;-0.000307;0.000186;0.001366;0.001336;0.000372;0.000826;0.000906;-0.000799;-0.002171;-8.161627;27.805651;15.578830;2.513489;-231.690190;0.657766;0.015655;0.438139;0.004496;0.443675;0.004844
0.117025;-0.003178;-0.002863;-0.001325;-0.000218;0.000452;0.001731;0.001587;0.000571;0.000996;0.000970;-0.000732;-0.002119;-8.268438;28.385481;16.353210;1.777255;-160.860810;0.756008;0.032207;0.438810;0.004760;0.443493;0.005231
0.117125;-0.003054;-0.002747;-0.001117;-0.000078;0.000906;0.002236;0.002024;0.000922;0.001248;0.001049;-0.000583;-0.002022;4.220847;31.410530;2.589819;1.903139;-47.398974;1.525218;0.157801;0.440287;-0.003107;0.441804;-0.002823
0.117225;-0.002860;-0.002613;-0.000921;0.000033;0.001197;0.002539;0.002262;0.001145;0.001429;0.001116;-0.000436;-0.001923;17.137381;28.976761;-8.613916;8.971754;37.728281;-0.897085;-0.229460;0.435445;-0.010335;0.436541;-0.010101
0.117325;-0.002624;-0.002434;-0.000730;0.000083;0.001379;0.002755;0.002374;0.001281;0.001592;0.001132;-0.000275;-0.001808;15.062190;30.910801;-13.370830;8.666579;106.229312;-0.015578;-0.085744;0.436586;-0.011139;0.438021;-0.010975
0.117425;-0.002470;-0.002404;-0.000698;0.000068;0.001399;0.002791;0.002257;0.001208;0.001509;0.001092;-0.000303;-0.001798;30.229380;28.267229;-13.851480;-1.156240;103.229799;-0.014757;-0.092704;0.440244;-0.015828;0.440222;-0.015930
0.117525;-0.002408;-0.002429;-0.000728;0.000054;0.001380;0.002791;0.002106;0.001084;0.001413;0.001036;-0.000391;-0.001825;31.583599;24.696680;-17.181700;2.765258;81.242343;-0.129890;-0.124284;0.436427;-0.017231;0.435705;-0.017528
0.117625;-0.002409;-0.002464;-0.000797;0.000077;0.001335;0.002758;0.001973;0.000961;0.001282;0.000984;-0.000533;-0.001827;33.326908;22.472719;-19.218750;5.199028;52.153260;-0.442064;-0.205855;0.434053;-0.018364;0.433270;-0.018655
0.117725;-0.002402;-0.002483;-0.000850;0.000102;0.001293;0.002716;0.001881;0.000878;0.001190;0.000944;-0.000640;-0.001801;29.062090;21.488529;-17.551729;7.972306;32.303055;-0.972489;-0.343234;0.432139;-0.016587;0.431517;-0.016840
0.117825;-0.002369;-0.002478;-0.000883;0.000131;0.001256;0.002666;0.001840;0.000840;0.001126;0.000919;-0.000723;-0.001757;20.700291;23.495050;-14.141400;9.341779;22.141548;-1.598261;-0.508052;0.432463;-0.013059;0.431952;-0.013286
0.117925;-0.002313;-0.002458;-0.000904;0.000162;0.001216;0.002608;0.001833;0.000826;0.001079;0.000900;-0.000800;-0.001711;13.040400;26.466700;-11.268940;9.891093;17.044549;-2.174245;-0.664470;0.433698;-0.009903;0.433245;-0.010109
0.118025;-0.002235;-0.002439;-0.000904;0.000173;0.001187;0.002566;0.001819;0.000808;0.001041;0.000882;-0.000843;-0.001670;8.020274;28.564770;-8.362146;9.082379;15.008952;-2.480075;-0.753183;0.435179;-0.007527;0.434731;-0.007732
0.118125;-0.002127;-0.002433;-0.000877;0.000142;0.001170;0.002538;0.001795;0.000776;0.001014;0.000855;-0.000828;-0.001642;5.536913;30.243231;-5.848268;7.773942;14.963708;-2.428589;-0.741195;0.436701;-0.006030;0.436203;-0.006252
0.118225;-0.002035;-0.002437;-0.000853;0.000111;0.001153;0.002506;0.001775;0.000744;0.000990;0.000831;-0.000805;-0.001601;4.724385;31.082470;-4.135474;6.476949;14.860549;-2.392553;-0.725279;0.437789;-0.005273;0.437244;-0.005512
0.118325;-0.001947;-0.002440;-0.000829;0.000081;0.001134;0.002472;0.001756;0.000712;0.000968;0.000810;-0.000780;-0.001557;4.152182;31.513531;-3.292428;5.847525;14.836923;-2.341017;-0.703673;0.438330;-0.004849;0.437735;-0.005107
0.118425;-0.001865;-0.002445;-0.000805;0.000049;0.001118;0.002439;0.001734;0.000679;0.000953;0.000792;-0.000752;-0.001509;3.869895;31.788179;-2.567637;5.469872;15.105755;-2.238243;-0.665530;0.438662;-0.004547;0.438001;-0.004831
0.118525;-0.001804;-0.002441;-0.000794;0.000039;0.001099;0.002406;0.001712;0.000656;0.000934;0.000779;-0.000751;-0.001455;3.854637;28.816540;-2.079358;5.534721;14.814856;-2.243158;-0.661358;0.437115;-0.004396;0.436421;-0.004695
0.118625;-0.001774;-0.002420;-0.000804;0.000074;0.001075;0.002381;0.001688;0.000640;0.000904;0.000774;-0.000802;-0.001386;3.778343;29.270491;-1.930585;5.469872;13.666856;-2.424480;-0.718718;0.437379;-0.004329;0.436684;-0.004623
0.118725;-0.001752;-0.002401;-0.000813;0.000109;0.001053;0.002360;0.001663;0.000624;0.000876;0.000771;-0.000846;-0.001315;3.641014;31.486820;-1.968732;5.206658;12.832091;-2.567037;-0.766603;0.438643;-0.004299;0.437939;-0.004593
0.118825;-0.001728;-0.002376;-0.000820;0.000144;0.001035;0.002343;0.001639;0.000606;0.000844;0.000769;-0.000892;-0.001252;3.587609;31.990360;-1.980176;5.160882;12.156903;-2.685841;-0.815742;0.438922;-0.004287;0.438216;-0.004581
0.118925;-0.001710;-0.002352;-0.000829;0.000181;0.001020;0.002325;0.001615;0.000585;0.000811;0.000767;-0.000934;-0.001190;3.579979;32.032318;-1.995435;5.157067;11.328441;-2.864222;-0.883385;0.438946;-0.004289;0.438251;-0.004579
0.119025;-0.001687;-0.002340;-0.000825;0.000195;0.001012;0.002306;0.001590;0.000558;0.000784;0.000763;-0.000938;-0.001131;3.476983;31.997990;-2.010693;5.149437;11.164894;-2.858376;-0.888756;0.438932;-0.004263;0.438210;-0.004564
0.119125;-0.001625;-0.002336;-0.000794;0.000165;0.001015;0.002294;0.001555;0.000522;0.000763;0.000752;-0.000892;-0.001098;3.015405;31.910250;-2.029767;5.229546;12.462864;-2.452168;-0.775951;0.438847;-0.004130;0.437995;-0.004487
0.119225;-0.001571;-0.002337;-0.000765;0.000133;0.001011;0.002274;0.001527;0.000493;0.000748;0.000742;-0.000842;-0.001061;2.286800;31.853029;-2.094616;5.378319;13.701722;-2.138966;-0.680449;0.438742;-0.003931;0.437750;-0.004347
0.119325;-0.001512;-0.002334;-0.000734;0.000099;0.001005;0.002257;0.001504;0.000466;0.000735;0.000732;-0.000795;-0.001030;2.477535;31.868290;-2.304424;5.622459;15.321744;-1.820897;-0.586733;0.438625;-0.004051;0.437447;-0.004541
0.119425;-0.001465;-0.002337;-0.000708;0.000063;0.000991;0.002232;0.001492;0.000447;0.000732;0.000723;-0.000742;-0.000995;-11.205750;32.406158;-1.934399;6.953784;16.874085;-1.579010;-0.506079;0.438221;0.000160;0.436845;-0.000441
0.119525;-0.001433;-0.002330;-0.000695;0.000048;0.000971;0.002205;0.001488;0.000436;0.000722;0.000721;-0.000723;-0.000957;-19.403509;32.997440;-1.747480;8.784834;17.649130;-1.464761;-0.466636;0.437589;0.002673;0.436066;0.002011
0.119625;-0.001438;-0.002313;-0.000708;0.000078;0.000941;0.002175;0.001487;0.000436;0.000704;0.000727;-0.000754;-0.000901;-12.849880;44.346130;-2.651561;9.860576;16.933876;-1.528036;-0.480144;0.442824;0.000438;0.441248;-0.000201
0.119725;-0.001439;-0.002291;-0.000718;0.000109;0.000914;0.002148;0.001482;0.000435;0.000680;0.000735;-0.000786;-0.000850;-11.076050;44.071480;-3.635750;10.921060;16.319227;-1.581742;-0.495510;0.442143;-0.000389;0.440569;-0.001035
0.119825;-0.001443;-0.002269;-0.000728;0.000140;0.000891;0.002125;0.001472;0.000433;0.000655;0.000742;-0.000817;-0.000799;-11.911460;35.221401;-3.712044;13.610410;15.633073;-1.649220;-0.515744;0.436263;-0.000161;0.434718;-0.000812
0.119925;-0.001439;-0.002241;-0.000736;0.000173;0.000873;0.002106;0.001459;0.000429;0.000624;0.000748;-0.000850;-0.000758;-12.792660;34.645378;-3.601418;15.662710;15.091156;-1.698640;-0.538558;0.434924;0.000136;0.433359;-0.000519
0.120025;-0.001421;-0.002220;-0.000731;0.000182;0.000860;0.002087;0.001449;0.000420;0.000600;0.000751;-0.000850;-0.000726;-14.051500;35.000149;-3.692970;18.123190;15.677545;-1.590498;-0.513154;0.433851;0.000486;0.432159;-0.000224
0.120125;-0.001368;-0.002210;-0.000703;0.000148;0.000858;0.002071;0.001436;0.000397;0.000589;0.000744;-0.000795;-0.000715;-12.773580;35.320580;-4.406317;20.309000;17.618574;-1.333515;-0.439857;0.432901;-0.000111;0.430922;-0.000933
0.120225;-0.001316;-0.002198;-0.000672;0.000115;0.000857;0.002057;0.001424;0.000373;0.000578;0.000739;-0.000741;-0.000708;-14.150690;35.972900;-4.749639;21.575480;19.785357;-1.108893;-0.378313;0.432588;0.000199;0.430275;-0.000762
0.120325;-0.001270;-0.002188;-0.000640;0.000081;0.000855;0.002046;0.001408;0.000345;0.000570;0.000733;-0.000683;-0.000695;-14.917440;36.606129;-5.554537;23.158569;21.940112;-0.929871;-0.328073;0.432104;0.000188;0.429445;-0.000910
0.120425;-0.001220;-0.002172;-0.000605;0.000048;0.000857;0.002043;0.001385;0.000314;0.000563;0.000728;-0.000630;-0.000687;-14.207910;36.934200;-6.576873;24.821779;24.335149;-0.768637;-0.286558;0.431423;-0.000331;0.428381;-0.001575
0.120525;-0.001192;-0.002149;-0.000584;0.000038;0.000855;0.002044;0.001360;0.000286;0.000550;0.000727;-0.000609;-0.000668;-16.969740;37.308041;-6.683684;25.077360;25.653533;-0.685275;-0.269008;0.431484;0.000464;0.428184;-0.000884
