#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_current_request (float64)[1]
0.753468;-0.006484;-0.006945;-0.006293;-0.006484;-0.006594;-0.006790;-0.006283;-0.005566;-0.004881;-0.004841;-0.005008;-0.005925;17.618031;-16.860519;-8.884759;10.440410;-2792.115967;0.440589;-0.008590;0.202489
0.753568;-0.006423;-0.006910;-0.006240;-0.006418;-0.006518;-0.006702;-0.006220;-0.005514;-0.004845;-0.004796;-0.004950;-0.005846;15.367360;-10.367920;-13.897260;9.791911;-2764.373047;0.442068;-0.008995;0.197586
0.753668;-0.006413;-0.006912;-0.006227;-0.006385;-0.006458;-0.006610;-0.006153;-0.005462;-0.004808;-0.004759;-0.004945;-0.005856;17.335739;-18.546610;-11.890730;11.004980;-2749.508057;0.439764;-0.008939;0.179992
0.753768;-0.006379;-0.006873;-0.006191;-0.006337;-0.006400;-0.006562;-0.006107;-0.005425;-0.004778;-0.004714;-0.004924;-0.005831;15.741200;-7.655678;-15.735940;8.445327;-2731.393066;0.442905;-0.009240;0.174520
0.753868;-0.006377;-0.006889;-0.006183;-0.006288;-0.006325;-0.006484;-0.006025;-0.005379;-0.004747;-0.004685;-0.004920;-0.005822;16.099779;-9.063297;-11.547410;7.709093;-2716.775879;0.442743;-0.008618;0.142977
0.753968;-0.006410;-0.006903;-0.006172;-0.006232;-0.006264;-0.006437;-0.005970;-0.005353;-0.004733;-0.004683;-0.004940;-0.005858;16.939011;-15.796220;-10.483110;9.543957;-2710.648926;0.440681;-0.008451;0.126894
0.754068;-0.006423;-0.006909;-0.006157;-0.006187;-0.006199;-0.006368;-0.005887;-0.005300;-0.004701;-0.004662;-0.004945;-0.005869;16.656719;-7.831154;-17.433470;9.070935;-2697.981934;0.442802;-0.009347;0.144679
0.754168;-0.006486;-0.006978;-0.006196;-0.006172;-0.006140;-0.006303;-0.005814;-0.005259;-0.004682;-0.004673;-0.004995;-0.005939;18.251261;-11.333040;-14.355020;9.604992;-2700.910889;0.442067;-0.008989;0.127004
0.754268;-0.006468;-0.006979;-0.006206;-0.006193;-0.006147;-0.006296;-0.005775;-0.005224;-0.004647;-0.004649;-0.004966;-0.005911;20.353161;-20.751499;-10.456410;11.176640;-2694.747070;0.439313;-0.008827;0.117475
0.754368;-0.006520;-0.007017;-0.006187;-0.006132;-0.006054;-0.006191;-0.005679;-0.005164;-0.004621;-0.004652;-0.005012;-0.005978;18.815840;-8.910710;-17.071079;8.697097;-2686.035889;0.443055;-0.009383;0.131795
0.754468;-0.006498;-0.007010;-0.006191;-0.006151;-0.006059;-0.006173;-0.005645;-0.005134;-0.004598;-0.004645;-0.005007;-0.005962;19.582590;-21.316071;-8.037898;10.909610;-2680.860107;0.439391;-0.008215;0.096752
0.754568;-0.006515;-0.007044;-0.006209;-0.006147;-0.006019;-0.006111;-0.005576;-0.005075;-0.004558;-0.004621;-0.005015;-0.005984;19.979321;-19.893190;-9.247154;10.108530;-2674.320068;0.440049;-0.008431;0.105576
0.754668;-0.006539;-0.007055;-0.006168;-0.006059;-0.005910;-0.006017;-0.005504;-0.005036;-0.004549;-0.004633;-0.005055;-0.006019;19.666510;-22.021790;-8.625360;9.158673;-2661.541992;0.439772;-0.008073;0.099517
