#timeI (float32)[1];inputMirnov0 (float32)[1];inputMirnov1 (float32)[1];inputMirnov2 (float32)[1];inputMirnov3 (float32)[1];inputMirnov4 (float32)[1];inputMirnov5 (float32)[1];inputMirnov6 (float32)[1];inputMirnov7 (float32)[1];inputMirnov8 (float32)[1];inputMirnov9 (float32)[1];inputMirnov10 (float32)[1];inputMirnov11 (float32)[1];langmuir_top (float32)[1];langmuir_outer (float32)[1];langmuir_bottom (float32)[1];langmuir_inner (float32)[1];rogowski_coil (float32)[1];outputFusedR (float32)[1];outputFusedZ (float32)[1];vertical_reference (float32)[1];vertical_current_request (float32)[1]
0.301059;-0.000938;-0.001294;-0.000342;-0.000080;-0.000128;0.000795;0.000623;-0.000054;0.000633;0.000943;0.000085;-0.000381;-26.289021;37.956531;-13.721779;39.634201;-23.099541;0.481133;0.004006;-0.003423;0
0.301159;-0.000942;-0.001290;-0.000338;-0.000072;-0.000120;0.000804;0.000596;-0.000068;0.000629;0.000937;0.000078;-0.000377;-19.475990;37.994678;-14.107069;35.800449;-23.917520;0.478663;0.003127;-0.002939;0
0.301259;-0.000920;-0.001297;-0.000317;-0.000102;-0.000101;0.000813;0.000554;-0.000090;0.000633;0.000931;0.000122;-0.000393;-17.980631;38.154899;-13.157210;34.022800;-24.039881;0.477433;0.003054;-0.002409;0
0.301359;-0.000892;-0.001297;-0.000289;-0.000129;-0.000081;0.000827;0.000522;-0.000108;0.000633;0.000925;0.000166;-0.000410;-18.964820;38.170151;-13.565380;33.011910;-22.749068;0.476833;0.003088;-0.001841;0
0.301459;-0.000877;-0.001311;-0.000271;-0.000159;-0.000070;0.000836;0.000495;-0.000117;0.000642;0.000919;0.000214;-0.000418;-21.123931;38.322739;-16.105960;35.106170;-21.852738;0.478085;0.003024;-0.001243;0
0.301559;-0.000863;-0.001326;-0.000254;-0.000197;-0.000070;0.000831;0.000472;-0.000122;0.000655;0.000913;0.000266;-0.000426;-22.958800;39.020829;-13.511970;34.652230;-22.086420;0.477366;0.003573;-0.000314;0
0.301659;-0.000870;-0.001329;-0.000261;-0.000205;-0.000081;0.000822;0.000463;-0.000113;0.000659;0.000907;0.000274;-0.000422;-19.475990;39.108570;-13.542490;32.828800;-23.098471;0.476122;0.003156;0;0
0.301759;-0.000899;-0.001322;-0.000289;-0.000175;-0.000097;0.000804;0.000467;-0.000095;0.000651;0.000907;0.000237;-0.000393;-18.510869;38.166339;-14.149030;32.077310;-25.567529;0.476208;0.002982;0.000937;0
0.301859;-0.000931;-0.001318;-0.000317;-0.000144;-0.000112;0.000781;0.000481;-0.000081;0.000642;0.000907;0.000200;-0.000373;-20.666170;37.792499;-12.630780;32.493112;-27.834110;0.476684;0.003458;0.001243;0
0.301959;-0.000963;-0.001308;-0.000338;-0.000114;-0.000128;0.000754;0.000499;-0.000068;0.000638;0.000907;0.000163;-0.000352;-20.994231;37.971789;-11.143050;31.966691;-29.939160;0.476254;0.003678;0.002129;0
0.302059;-0.000995;-0.001301;-0.000363;-0.000080;-0.000143;0.000727;0.000513;-0.000059;0.000638;0.000913;0.000129;-0.000332;-20.040559;38.132011;-9.636253;30.894761;-32.448348;0.475510;0.003725;0.002679;0
0.302159;-0.000995;-0.001301;-0.000363;-0.000076;-0.000147;0.000708;0.000522;-0.000059;0.000638;0.000907;0.000126;-0.000336;-19.319590;37.761979;-9.975761;29.567249;-33.369641;0.474962;0.003555;0.003187;0
0.302259;-0.000974;-0.001311;-0.000349;-0.000110;-0.000143;0.000708;0.000513;-0.000063;0.000655;0.000902;0.000174;-0.000352;-20.666170;37.754349;-8.869501;29.094230;-32.409579;0.474731;0.003813;0.003645;0
0.302359;-0.000942;-0.001322;-0.000328;-0.000144;-0.000136;0.000704;0.000508;-0.000068;0.000677;0.000896;0.000218;-0.000364;-20.483062;37.567429;-7.751797;28.251180;-30.922939;0.474362;0.003893;0.004045;0.004550
0.302459;-0.000917;-0.001333;-0.000310;-0.000175;-0.000128;0.000704;0.000499;-0.000077;0.000694;0.000890;0.000262;-0.000377;-18.571910;37.468249;-10.155050;28.712760;-29.526300;0.474746;0.003331;0.004382;0.031529
0.302559;-0.000888;-0.001343;-0.000292;-0.000201;-0.000116;0.000704;0.000495;-0.000086;0.000711;0.000884;0.000311;-0.000397;-21.562621;37.487320;-9.033532;29.265890;-27.519040;0.475100;0.003829;0.004755;0.027784
0.302659;-0.000881;-0.001343;-0.000289;-0.000201;-0.000109;0.000704;0.000486;-0.000090;0.000716;0.000878;0.000311;-0.000393;-16.729411;37.380509;-6.546356;27.202141;-27.288360;0.473881;0.003522;0.004843;0.039625
0.302759;-0.000906;-0.001329;-0.000306;-0.000159;-0.000105;0.000708;0.000472;-0.000090;0.000703;0.000872;0.000270;-0.000381;-19.464540;37.452991;-7.061338;26.427760;-28.486221;0.473381;0.003768;0.004990;0.036651
0.302859;-0.000934;-0.001318;-0.000324;-0.000118;-0.000105;0.000713;0.000454;-0.000090;0.000690;0.000872;0.000233;-0.000360;-18.327770;37.681870;-8.068416;26.820669;-29.615240;0.473537;0.003463;0.004961;0.044922
0.302959;-0.000952;-0.001308;-0.000335;-0.000072;-0.000101;0.000727;0.000431;-0.000095;0.000672;0.000872;0.000189;-0.000344;-16.767559;37.697129;-6.534912;25.016331;-30.815029;0.472445;0.003419;0.004843;0.042717
0.303059;-0.000977;-0.001294;-0.000352;-0.000027;-0.000097;0.000727;0.000421;-0.000090;0.000659;0.000872;0.000152;-0.000324;-17.076549;37.826831;-7.179594;25.298612;-31.869599;0.472592;0.003341;0.004649;0.039245
0.303159;-0.000985;-0.001294;-0.000352;-0.000015;-0.000089;0.000722;0.000412;-0.000090;0.000659;0.000866;0.000155;-0.000315;-15.958850;38.143451;-7.068968;24.955289;-31.800830;0.472215;0.003189;0.004382;0.035768
0.303259;-0.000967;-0.001308;-0.000338;-0.000049;-0.000085;0.000708;0.000408;-0.000081;0.000681;0.000866;0.000203;-0.000324;-18.388799;38.608841;-5.405765;25.043029;-30.466110;0.471966;0.003703;0.004045;0.010263
0.303359;-0.000949;-0.001329;-0.000328;-0.000087;-0.000085;0.000690;0.000408;-0.000077;0.000694;0.000854;0.000255;-0.000328;-17.713600;38.223560;-6.271698;25.962369;-30.090050;0.472817;0.003491;0.003645;0.004621
0.303459;-0.000927;-0.001343;-0.000313;-0.000121;-0.000081;0.000686;0.000399;-0.000072;0.000711;0.000854;0.000303;-0.000340;-25.636708;64.941630;-9.422630;23.376011;-29.416041;0.454253;0.004096;0.002939;0
0.303559;-0.000906;-0.001365;-0.000299;-0.000156;-0.000081;0.000677;0.000394;-0.000068;0.000733;0.000848;0.000344;-0.000344;-21.669430;42.843151;-9.395927;24.577641;-28.189020;0.468904;0.003610;0.002679;0
0.303659;-0.000906;-0.001368;-0.000303;-0.000159;-0.000081;0.000663;0.000399;-0.000059;0.000742;0.000842;0.000355;-0.000340;-22.298860;39.093311;-7.164335;25.153660;-27.990400;0.471717;0.003957;0.001841;0
0.303759;-0.000931;-0.001361;-0.000324;-0.000121;-0.000085;0.000645;0.000408;-0.000050;0.000738;0.000836;0.000318;-0.000319;-19.464540;39.001750;-6.096223;25.077359;-29.139299;0.471811;0.003683;0.001545;0
0.303859;-0.000956;-0.001354;-0.000342;-0.000083;-0.000085;0.000636;0.000412;-0.000041;0.000733;0.000836;0.000281;-0.000303;-17.458019;39.284038;-6.763793;25.447390;-29.936199;0.471921;0.003307;0.000627;0
0.303959;-0.000981;-0.001343;-0.000363;-0.000046;-0.000085;0.000627;0.000408;-0.000036;0.000738;0.000836;0.000248;-0.000278;-22.966430;57.289361;-9.582847;24.692080;-30.823352;0.460097;0.003605;0;0
0.304059;-0.001003;-0.001333;-0.000380;-0.000008;-0.000081;0.000627;0.000394;-0.000032;0.000733;0.000836;0.000211;-0.000270;-24.156610;42.923259;-8.373591;25.573270;-32.319099;0.469778;0.003840;-0.000627;0
0.304159;-0.001003;-0.001333;-0.000384;0;-0.000070;0.000631;0.000376;-0.000032;0.000742;0.000830;0.000207;-0.000262;-20.132110;40.737438;-7.809017;25.325319;-31.698110;0.471060;0.003398;-0.001243;0
0.304259;-0.000977;-0.001343;-0.000363;-0.000027;-0.000050;0.000636;0.000357;-0.000032;0.000764;0.000824;0.000248;-0.000274;-19.273809;40.977759;-7.778500;25.683901;-29.331529;0.471043;0.003365;-0.001841;0
0.304359;-0.000956;-0.001357;-0.000342;-0.000053;-0.000035;0.000640;0.000348;-0.000036;0.000777;0.000824;0.000288;-0.000291;-20.200781;42.076392;-8.457514;25.390169;-27.697720;0.470080;0.003454;-0.002409;0
0.304459;-0.000917;-0.001361;-0.000321;-0.000076;-0.000016;0.000649;0.000334;-0.000045;0.000785;0.000813;0.000322;-0.000307;-23.019831;53.314461;-9.697288;25.397791;-25.101521;0.462853;0.003732;-0.003187;0
0.304559;-0.000892;-0.001375;-0.000296;-0.000099;0.000004;0.000663;0.000321;-0.000050;0.000798;0.000807;0.000362;-0.000319;-23.534810;51.063799;-11.375750;24.985809;-22.878060;0.463844;0.003689;-0.003423;0
0.304659;-0.000895;-0.001379;-0.000292;-0.000087;0.000019;0.000672;0.000307;-0.000045;0.000790;0.000807;0.000370;-0.000315;-22.195861;45.486721;-11.310900;26.156919;-21.610991;0.468067;0.003573;-0.004045;0
