#timeI (float64)[1];PositionZ (float64)[1];vertical_reference (float64)[1];vertical_current_request (float64)[1]
0.011401;0.085000;-0.004000;26.699844
0.011501;0.085000;-0.004000;26.699842
0.011601;0.085000;-0.004000;26.699841
0.011701;0.085000;-0.004000;26.699840
0.011801;0.085000;-0.004000;26.699838
0.011901;0.085000;-0.004000;26.699837
0.012001;0.085000;-0.004000;26.699836
0.012101;0.085000;-0.004000;26.699834
0.012201;0.085000;-0.004000;26.699833
0.012301;0.085000;-0.004000;26.699832
0.012401;0.085000;-0.004000;26.699830
0.012501;0.085000;-0.004000;26.699829
0.012601;0.085000;-0.004000;26.699828
0.012701;0.085000;-0.004000;26.699826
0.012801;0.085000;-0.004000;26.699825
0.012901;0.085000;-0.004000;26.699824
0.013001;0.085000;-0.004000;26.699822
0.013101;0.085000;-0.004000;26.699821
0.013201;0.085000;-0.004000;26.699820
0.013301;0.085000;-0.004000;26.699818
0.013401;0.085000;-0.004000;26.699817
0.013501;0.085000;-0.004000;26.699816
0.013601;0.085000;-0.004000;26.699814
0.013701;0.085000;-0.004000;26.699813
0.013801;0.085000;-0.004000;26.699812
0.013901;0.085000;-0.004000;26.699810
0.014001;0.085000;-0.004000;26.699809
0.014101;0.085000;-0.004000;26.699808
0.014201;0.085000;-0.004000;26.699806
0.014301;0.085000;-0.004000;26.699805
0.014401;0.085000;-0.004000;26.699804
0.014501;0.085000;-0.004000;26.699802
0.014601;0.085000;-0.004000;26.699801
0.014701;0.085000;-0.004000;26.699800
0.014801;0.085000;-0.004000;26.699798
0.014901;0.085000;-0.004000;26.699797
0.015001;0.085000;-0.004000;26.699796
0.015101;0.085000;-0.004000;26.699794
0.015201;0.085000;-0.004000;26.699793
0.015301;0.085000;-0.004000;26.699792
0.015401;0.085000;-0.004000;26.699790
0.015501;0.085000;-0.004000;26.699789
0.015601;0.085000;-0.004000;26.699788
0.015702;0.085000;-0.004000;26.699786
0.015802;0.085000;-0.004000;26.699785
0.015902;0.085000;-0.004000;26.699784
0.016002;0.085000;-0.004000;26.699782
0.016102;0.085000;-0.004000;26.699781
0.016202;0.085000;-0.004000;26.699780
0.016302;0.085000;-0.004000;26.699778
0.016402;0.085000;-0.004000;26.699777
0.016502;0.085000;-0.004000;26.699776
0.016602;0.085000;-0.004000;26.699774
0.016702;0.085000;-0.004000;26.699773
0.016802;0.085000;-0.004000;26.699772
0.016902;0.085000;-0.004000;26.699770
0.017002;0.085000;-0.004000;26.699769
0.017102;0.085000;-0.004000;26.699767
0.017202;0.085000;-0.004000;26.699766
0.017302;0.085000;-0.004000;26.699765
0.017402;0.085000;-0.004000;26.699763
0.017502;0.085000;-0.004000;26.699762
0.017602;0.085000;-0.004000;26.699761
0.017702;0.085000;-0.004000;26.699759
0.017802;0.085000;-0.004000;26.699758
0.017902;0.085000;-0.004000;26.699757
0.018002;0.085000;-0.004000;26.699755
0.018102;0.085000;-0.004000;26.699754
0.018202;0.085000;-0.004000;26.699753
0.018302;0.085000;-0.004000;26.699751
0.018402;0.085000;-0.004000;26.699750
0.018502;0.085000;-0.004000;26.699749
0.018602;0.085000;-0.004000;26.699747
0.018702;0.085000;-0.004000;26.699746
0.018802;0.085000;-0.004000;26.699745
0.018902;0.085000;-0.004000;26.699743
0.019002;0.085000;-0.004000;26.699742
0.019102;0.085000;-0.004000;26.699741
0.019202;0.085000;-0.004000;26.699739
0.019302;0.085000;-0.004000;26.699738
0.019402;0.085000;-0.004000;26.699737
0.019502;0.085000;-0.004000;26.699735
0.019602;0.085000;-0.004000;26.699734
0.019702;0.085000;-0.004000;26.699733
0.019802;0.085000;-0.004000;26.699731
0.019902;0.085000;-0.004000;26.699730
0.020002;0.085000;-0.004000;26.699729
0.020102;0.085000;-0.004000;26.699727
0.020202;0.085000;-0.004000;26.699726
0.020302;0.085000;-0.004000;26.699725
0.020402;0.085000;-0.004000;26.699723
0.020502;0.085000;-0.004000;26.699722
0.020602;0.085000;-0.004000;26.699721
0.020702;0.085000;-0.004000;26.699719
0.020802;0.085000;-0.004000;26.699718
0.020902;0.085000;-0.004000;26.699717
0.021002;0.085000;-0.004000;26.699715
0.021102;0.085000;-0.004000;26.699714
0.021202;0.085000;-0.004000;26.699713
0.021302;0.085000;-0.004000;26.699711
0.021402;0.085000;-0.004000;26.699710
0.021502;0.085000;-0.004000;26.699709
0.021602;0.085000;-0.004000;26.699707
0.021702;0.085000;-0.004000;26.699706
0.021802;0.085000;-0.004000;26.699705
0.021902;0.085000;-0.004000;26.699703
0.022002;0.085000;-0.004000;26.699702
0.022102;0.085000;-0.004000;26.699701
0.022202;0.085000;-0.004000;26.699699
0.022302;0.085000;-0.004000;26.699698
0.022402;0.085000;-0.004000;26.699697
0.022502;0.085000;-0.004000;26.699695
0.022602;0.085000;-0.004000;26.699694
0.022702;0.085000;-0.004000;26.699693
0.022802;0.085000;-0.004000;26.699691
0.022902;0.085000;-0.004000;26.699690
0.023002;0.085000;-0.004000;26.699689
0.023102;0.085000;-0.004000;26.699687
0.023202;0.085000;-0.004000;26.699686
0.023302;0.085000;-0.004000;26.699685
0.023402;0.085000;-0.004000;26.699683
0.023502;0.085000;-0.004000;26.699682
0.023602;0.085000;-0.004000;26.699681
0.023702;0.085000;-0.004000;26.699679
0.023802;0.085000;-0.004000;26.699678
0.023902;0.085000;-0.004000;26.699677
0.024002;0.085000;-0.004000;26.699675
0.024102;0.085000;-0.004000;26.699674
0.024202;0.085000;-0.004000;26.699673
0.024302;0.085000;-0.004000;26.699671
0.024402;0.085000;-0.004000;26.699670
0.024502;0.085000;-0.004000;26.699669
0.024602;0.085000;-0.004000;26.699667
0.024702;0.085000;-0.004000;26.699666
0.024802;0.085000;-0.004000;26.699665
0.024902;0.085000;-0.004000;26.699663
0.025002;0.085000;-0.004000;26.699662
0.025102;0.085000;-0.004000;26.699661
0.025202;0.085000;-0.004000;26.699659
0.025302;0.085000;-0.004000;26.699658
0.025402;0.085000;-0.004000;26.699657
0.025502;0.085000;-0.004000;26.699655
0.025602;0.085000;-0.004000;26.699654
0.025702;0.085000;-0.004000;26.699653
0.025802;0.085000;-0.004000;26.699651
0.025902;0.085000;-0.004000;26.699650
0.026002;0.085000;-0.004000;26.699649
0.026102;0.085000;-0.004000;26.699647
0.026202;0.085000;-0.004000;26.699646
0.026302;0.085000;-0.004000;26.699645
0.026402;0.085000;-0.004000;26.699643
0.026502;0.085000;-0.004000;26.699642
0.026602;0.085000;-0.004000;26.699641
0.026702;0.085000;-0.004000;26.699639
0.026803;0.085000;-0.004000;26.699638
0.026903;0.085000;-0.004000;26.699637
0.027003;0.085000;-0.004000;26.699635
0.027103;0.085000;-0.004000;26.699634
0.027203;0.085000;-0.004000;26.699633
0.027303;0.085000;-0.004000;26.699631
0.027403;0.085000;-0.004000;26.699630
0.027503;0.085000;-0.004000;26.699629
0.027603;0.085000;-0.004000;26.699627
0.027703;0.085000;-0.004000;26.699626
0.027803;0.085000;-0.004000;26.699625
0.027903;0.085000;-0.004000;26.699623
0.028003;0.085000;-0.004000;26.699622
0.028103;0.085000;-0.004000;26.699621
0.028203;0.085000;-0.004000;26.699619
0.028303;0.085000;-0.004000;26.699618
0.028403;0.085000;-0.004000;26.699617
0.028503;0.085000;-0.004000;26.699615
0.028603;0.085000;-0.004000;26.699614
0.028703;0.085000;-0.004000;26.699613
0.028803;0.085000;-0.004000;26.699611
0.028903;0.085000;-0.004000;26.699610
