#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_reference (float64)[1];vertical_current_request (float64)[1]
0.797372;0.000031;-0.000091;0.000041;-0.000136;-0.000111;0.000116;-0.000041;0.000023;0.000062;0.000025;0.000009;0.000019;3.557091;32.524422;-1.942029;4.771784;-3766.437012;0.454839;0.001615;-0.004843;1.937168
0.797472;0.000033;-0.000090;0.000041;-0.000138;-0.000114;0.000115;-0.000042;0.000023;0.000063;0.000026;0.000010;0.000014;3.557091;32.524422;-1.938214;4.775599;-3762.770996;0.454841;0.001598;-0.004649;1.873834
0.797572;0.000034;-0.000088;0.000039;-0.000149;-0.000122;0.000118;-0.000048;0.000025;0.000064;0.000026;0.000008;-0.000002;3.557091;32.528229;-1.942029;4.771784;-3757.270996;0.454847;0.001518;-0.004382;1.769549
0.797672;0.000035;-0.000084;0.000038;-0.000158;-0.000128;0.000124;-0.000057;0.000025;0.000065;0.000027;0.000006;-0.000018;3.560906;32.528229;-1.942029;4.775599;-3751.083008;0.454855;0.001442;-0.004045;1.645844
0.797772;0.000037;-0.000081;0.000038;-0.000166;-0.000133;0.000133;-0.000069;0.000023;0.000065;0.000027;0.000004;-0.000035;3.557091;32.528229;-1.942029;4.775599;-3750.166992;0.454861;0.001370;-0.003187;1.366779
0.797872;0.000039;-0.000077;0.000039;-0.000173;-0.000136;0.000144;-0.000083;0.000020;0.000063;0.000028;0.000002;-0.000051;3.557091;32.528229;-1.942029;4.771784;-3750.166992;0.454867;0.001304;-0.002679;1.194841
0.797972;0.000041;-0.000075;0.000043;-0.000166;-0.000126;0.000154;-0.000096;0.000012;0.000058;0.000027;-0.000002;-0.000049;3.557091;32.528229;-1.942029;4.771784;-3753.375000;0.454865;0.001321;-0.002129;1.034694
0.798072;0.000041;-0.000077;0.000047;-0.000153;-0.000114;0.000154;-0.000098;0.000005;0.000054;0.000026;-0.000002;-0.000035;3.553276;32.528229;-1.945844;4.771784;-3753.375000;0.454859;0.001389;-0.001545;0.879972
0.798172;0.000042;-0.000079;0.000050;-0.000141;-0.000103;0.000152;-0.000098;0;0.000052;0.000026;-0.000002;-0.000020;3.557091;32.524422;-1.942029;4.771784;-3734.812012;0.454853;0.001459;-0.000937;0.718539
0.798272;0.000042;-0.000082;0.000052;-0.000129;-0.000093;0.000149;-0.000097;-0.000003;0.000050;0.000025;-0.000002;-0.000005;3.549462;32.520599;-1.953473;4.760340;-3730.916992;0.454845;0.001527;-0.000627;0.645766
0.798372;0.000040;-0.000085;0.000052;-0.000121;-0.000088;0.000137;-0.000085;-0.000002;0.000050;0.000025;0.000001;0.000012;3.553276;32.528229;-1.942029;4.767969;-3731.375000;0.454840;0.001587;0;0.475858
0.798472;0.000037;-0.000088;0.000049;-0.000126;-0.000096;0.000126;-0.000075;0.000004;0.000053;0.000026;0.000005;0.000010;3.557091;32.524422;-1.938214;4.771784;-3759.791992;0.454843;0.001564;0.000627;0.280885
0.798572;0.000034;-0.000088;0.000044;-0.000141;-0.000110;0.000118;-0.000069;0.000013;0.000058;0.000026;0.000008;-0.000003;3.553276;32.524422;-1.942029;4.771784;-3773.541016;0.454850;0.001482;0.001243;0.071463
0.798672;0.000032;-0.000088;0.000040;-0.000156;-0.000124;0.000111;-0.000064;0.000020;0.000063;0.000026;0.000010;-0.000016;3.557091;32.528229;-1.942029;4.771784;-3781.104004;0.454857;0.001399;0.001841;-0.132740
0.798772;0.000030;-0.000087;0.000036;-0.000170;-0.000136;0.000107;-0.000061;0.000027;0.000067;0.000027;0.000011;-0.000030;3.557091;32.524422;-1.942029;4.775599;-3795.083008;0.454864;0.001322;0.002409;-0.326192
0.798872;0.000029;-0.000086;0.000032;-0.000184;-0.000148;0.000104;-0.000059;0.000032;0.000070;0.000028;0.000012;-0.000045;3.557091;32.524422;-1.945844;4.771784;-3797.145020;0.454870;0.001243;0.002939;-0.509060
0.798972;0.000030;-0.000086;0.000031;-0.000184;-0.000147;0.000101;-0.000056;0.000033;0.000071;0.000026;0.000011;-0.000042;3.557091;32.528229;-1.942029;4.771784;-3805.853027;0.454869;0.001251;0.003423;-0.651777
0.799072;0.000032;-0.000088;0.000033;-0.000174;-0.000139;0.000098;-0.000052;0.000032;0.000072;0.000026;0.000010;-0.000029;3.557091;32.528229;-1.942029;4.771784;-3809.062012;0.454862;0.001326;0.004222;-0.868935
0.799172;0.000035;-0.000090;0.000035;-0.000163;-0.000129;0.000096;-0.000049;0.000029;0.000070;0.000025;0.000008;-0.000016;3.553276;32.528229;-1.942029;4.771784;-3808.603027;0.454855;0.001399;0.004524;-0.937674
0.799272;0.000038;-0.000091;0.000038;-0.000152;-0.000118;0.000097;-0.000048;0.000025;0.000069;0.000024;0.000007;-0.000004;3.557091;32.532051;-1.938214;4.771784;-3816.395020;0.454848;0.001473;0.004755;-0.984865
0.799372;0.000041;-0.000091;0.000041;-0.000140;-0.000106;0.000099;-0.000049;0.000021;0.000066;0.000023;0.000005;0.000009;3.557091;32.528229;-1.942029;4.771784;-3812.499023;0.454842;0.001551;0.004911;-1.008490
0.799472;0.000043;-0.000090;0.000043;-0.000140;-0.000104;0.000107;-0.000056;0.000019;0.000065;0.000024;0.000005;0.000003;3.557091;32.528229;-1.945844;4.771784;-3824.874023;0.454842;0.001550;0.004990;-1.032161
0.799572;0.000044;-0.000087;0.000043;-0.000148;-0.000108;0.000119;-0.000067;0.000017;0.000064;0.000024;0.000003;-0.000013;3.557091;32.528229;-1.938214;4.771784;-3820.978027;0.454847;0.001487;0.004990;-1.051096
0.799672;0.000045;-0.000084;0.000043;-0.000156;-0.000111;0.000130;-0.000078;0.000015;0.000062;0.000025;0.000002;-0.000029;3.549462;32.520599;-1.945844;4.764154;-3813.874023;0.454852;0.001424;0.004911;-1.046360
0.799772;0.000042;-0.000083;0.000041;-0.000167;-0.000119;0.000134;-0.000081;0.000018;0.000062;0.000026;0.000003;-0.000043;3.557091;32.524422;-1.942029;4.767969;-3809.749023;0.454858;0.001353;0.004649;-0.988930
0.799872;0.000040;-0.000081;0.000038;-0.000179;-0.000127;0.000137;-0.000083;0.000022;0.000063;0.000027;0.000004;-0.000056;3.557091;32.528229;-1.942029;4.771784;-3822.353027;0.454863;0.001292;-0.003423;1.414229
0.799972;0.000038;-0.000082;0.000037;-0.000179;-0.000126;0.000134;-0.000079;0.000024;0.000063;0.000025;0.000005;-0.000050;3.549462;32.524422;-1.945844;4.764154;-3829.457031;0.454862;0.001305;-0.003187;1.347282
0.800072;0.000036;-0.000086;0.000036;-0.000174;-0.000123;0.000122;-0.000064;0.000028;0.000065;0.000024;0.000007;-0.000034;3.557091;32.528229;-1.938214;4.775599;-3815.249023;0.454858;0.001367;-0.002129;1.048622
0.800172;0.000035;-0.000091;0.000035;-0.000172;-0.000119;0.000109;-0.000048;0.000032;0.000068;0.000024;0.000009;-0.000018;3.557091;32.528229;-1.938214;4.775599;-3798.062012;0.454853;0.001427;-0.001545;0.891490
0.800272;0.000035;-0.000094;0.000034;-0.000170;-0.000116;0.000098;-0.000034;0.000036;0.000070;0.000023;0.000011;-0.000003;3.560906;32.528229;-1.938214;4.775599;-3789.812012;0.454848;0.001488;-0.000937;0.727244
0.800372;0.000036;-0.000097;0.000033;-0.000167;-0.000112;0.000089;-0.000022;0.000039;0.000073;0.000022;0.000011;0.000011;3.557091;32.528229;-1.938214;4.775599;-3779.500000;0.454843;0.001548;-0.000314;0.558360
0.800472;0.000036;-0.000097;0.000031;-0.000171;-0.000118;0.000086;-0.000016;0.000044;0.000076;0.000023;0.000013;0.000007;3.560906;32.528229;-1.938214;4.771784;-3779.041016;0.454843;0.001541;0.000314;0.367850
0.800572;0.000037;-0.000095;0.000028;-0.000178;-0.000129;0.000087;-0.000015;0.000049;0.000079;0.000024;0.000013;-0.000009;3.560906;32.528229;-1.938214;4.775599;-3776.979004;0.454848;0.001485;0.000937;0.164213
0.800672;0.000038;-0.000093;0.000025;-0.000186;-0.000139;0.000090;-0.000018;0.000053;0.000081;0.000025;0.000013;-0.000024;3.557091;32.528229;-1.938214;4.775599;-3780.187012;0.454852;0.001429;0.001545;-0.034977
0.800772;0.000039;-0.000090;0.000024;-0.000192;-0.000147;0.000097;-0.000023;0.000056;0.000082;0.000026;0.000012;-0.000040;3.557091;32.532051;-1.938214;4.775599;-3777.437012;0.454856;0.001375;0.002129;-0.226331
0.800872;0.000040;-0.000087;0.000023;-0.000196;-0.000153;0.000106;-0.000030;0.000057;0.000083;0.000027;0.000010;-0.000056;3.560906;32.528229;-1.938214;4.775599;-3779.729004;0.454861;0.001329;0.002679;-0.405162
