#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
0.069606;0.004089;0.002838;0.002832;0.004104;0.004578;0.005147;0.005686;0.007029;0.006829;0.005806;0.005143;0.004698;-20.071079;-5.744520;8.544545;19.485029;2214.532959;2289.908334;0.449564;0.008542;0.412396;0.005957
0.069706;0.004137;0.002894;0.002851;0.004126;0.004585;0.005132;0.005676;0.007037;0.006831;0.005815;0.005143;0.004720;-27.441050;-3.326009;7.888419;22.571110;2221.972900;2296.456678;0.449830;0.008516;0.412056;0.007969
0.069806;0.004080;0.002809;0.002789;0.004087;0.004534;0.005049;0.005576;0.006951;0.006807;0.005799;0.005143;0.004692;-30.622499;-5.961957;10.169600;24.764561;2197.144043;2271.918792;0.449777;0.008843;0.409595;0.009606
0.069906;0.004114;0.002862;0.002833;0.004148;0.004604;0.005127;0.005652;0.007055;0.006893;0.005853;0.005178;0.004714;-20.155001;-7.133066;6.785975;22.834330;2223.491943;2299.837414;0.449685;0.008659;0.409982;0.005455
0.070006;0.004112;0.002839;0.002806;0.004139;0.004593;0.005101;0.005585;0.006985;0.006850;0.005831;0.005200;0.004731;-21.913570;-8.040961;7.587059;23.574381;2213.395020;2289.737106;0.449881;0.008765;0.409142;0.006222
0.070106;0.004041;0.002796;0.002774;0.004129;0.004585;0.005098;0.005578;0.007016;0.006808;0.005743;0.005084;0.004642;-18.938120;-12.214230;7.613761;23.395081;2193.895996;2271.078359;0.449452;0.008446;0.407107;0.005338
0.070206;0.004088;0.002821;0.002793;0.004157;0.004624;0.005171;0.005625;0.007050;0.006781;0.005746;0.005110;0.004684;-21.997499;-10.280180;9.387590;21.281750;2207.514893;2284.924618;0.449548;0.008252;0.409169;0.006787
0.070306;0.004061;0.002787;0.002766;0.004134;0.004601;0.005154;0.005587;0.007049;0.006791;0.005701;0.005051;0.004633;-20.616579;-10.337400;7.117852;22.388010;2194.446045;2271.921710;0.449345;0.008232;0.408577;0.005693
0.070406;0.004081;0.002812;0.002791;0.004162;0.004630;0.005181;0.005612;0.007069;0.006782;0.005717;0.005091;0.004665;-16.096180;-12.408780;9.349444;17.394581;2205.747070;2282.722191;0.449469;0.008157;0.410066;0.005007
0.070506;0.004080;0.002810;0.002800;0.004179;0.004658;0.005237;0.005695;0.007149;0.006804;0.005678;0.005040;0.004648;-22.703211;-3.367970;6.469356;20.137341;2212.745117;2289.814907;0.449153;0.007854;0.413275;0.006124
0.070606;0.004113;0.002822;0.002800;0.004173;0.004642;0.005208;0.005678;0.007199;0.006887;0.005727;0.005112;0.004692;-22.123381;0.618378;6.000149;17.966789;2223.562988;2300.614201;0.449240;0.008246;0.416412;0.005809
0.070706;0.004176;0.002887;0.002849;0.004219;0.004684;0.005238;0.005715;0.007256;0.006972;0.005844;0.005193;0.004758;-24.240530;-8.922154;8.422475;23.253941;2251.565918;2329.325054;0.449461;0.008398;0.408856;0.007170
0.070806;0.004145;0.002830;0.002797;0.004183;0.004644;0.005178;0.005678;0.007268;0.007028;0.005881;0.005219;0.004746;-34.963619;6.000901;8.849720;20.858320;2242.594971;2321.762986;0.449248;0.008838;0.417681;0.010511
0.070906;0.004156;0.002840;0.002789;0.004184;0.004648;0.005178;0.005705;0.007292;0.007022;0.005837;0.005203;0.004759;-32.133121;-0.316221;9.338000;22.853399;2242.978027;2322.431516;0.449229;0.008753;0.413446;0.009809
0.071006;0.004176;0.002866;0.002805;0.004209;0.004676;0.005200;0.005743;0.007301;0.006984;0.005771;0.005171;0.004758;-31.290070;1.667416;8.594136;21.068119;2244.969971;2324.214870;0.449288;0.008419;0.415366;0.009334
0.071106;0.004166;0.002854;0.002801;0.004215;0.004680;0.005195;0.005750;0.007339;0.007008;0.005781;0.005156;0.004739;-27.948410;1.133360;8.662801;19.473591;2244.731934;2325.232925;0.449136;0.008422;0.415906;0.008353
0.071206;0.004164;0.002818;0.002760;0.004176;0.004635;0.005133;0.005657;0.007276;0.006967;0.005770;0.005174;0.004749;-29.272100;-3.589222;9.158710;23.490450;2229.105957;2309.451382;0.449309;0.008723;0.411453;0.008898
0.071307;0.004130;0.002794;0.002749;0.004168;0.004633;0.005134;0.005641;0.007265;0.006969;0.005770;0.005165;0.004717;-30.321140;1.095213;8.285147;22.109541;2223.141113;2303.785606;0.449168;0.008723;0.414544;0.008951
0.071407;0.004189;0.002878;0.002825;0.004241;0.004716;0.005238;0.005760;0.007375;0.007025;0.005807;0.005191;0.004759;-20.837830;-7.056772;7.640464;20.106819;2257.218018;2337.773992;0.449198;0.008352;0.411411;0.005916
