#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
0.054109;-0.000040;-0.000084;0.000133;0;0.000115;0.000094;0.000062;-0.000043;0.000073;0.000044;-0.000032;0.000092;3.530388;32.089539;-1.934399;4.775599;16.122899;0.430695;-0.036176;0.439169;-0.004256
0.054209;-0.000064;-0.000072;0.000115;0.000035;0.000112;0.000096;0.000061;-0.000039;0.000063;0.000050;-0.000074;0.000104;3.530388;32.093361;-1.934399;4.775599;15.015238;0.424526;-0.053594;0.439171;-0.004256
0.054309;-0.000087;-0.000060;0.000098;0.000070;0.000111;0.000102;0.000057;-0.000037;0.000051;0.000056;-0.000117;0.000115;3.530388;32.089539;-1.934399;4.779413;13.933631;0.418257;-0.075421;0.439167;-0.004256
0.054409;-0.000110;-0.000048;0.000081;0.000106;0.000111;0.000109;0.000050;-0.000036;0.000038;0.000063;-0.000161;0.000127;3.530388;32.089539;-1.934399;4.779413;12.832047;0.412002;-0.102547;0.439167;-0.004256
0.054509;-0.000122;-0.000039;0.000074;0.000131;0.000115;0.000120;0.000039;-0.000039;0.000027;0.000067;-0.000189;0.000133;3.530388;32.093361;-1.934399;4.779413;12.355849;0.412081;-0.123893;0.439169;-0.004256
0.054609;-0.000094;-0.000046;0.000099;0.000100;0.000131;0.000138;0.000019;-0.000055;0.000031;0.000061;-0.000151;0.000119;3.530388;32.093361;-1.930585;4.779413;13.685307;0.429864;-0.107227;0.439169;-0.004255
0.054709;-0.000067;-0.000053;0.000123;0.000069;0.000144;0.000153;0.000001;-0.000070;0.000035;0.000054;-0.000111;0.000106;3.518944;32.085732;-1.945844;4.760340;14.927870;0.443759;-0.092234;0.439175;-0.004256
0.054809;-0.000044;-0.000064;0.000143;0.000035;0.000151;0.000156;-0.000005;-0.000079;0.000043;0.000048;-0.000068;0.000097;3.522759;32.089539;-1.938214;4.775599;16.109392;0.451491;-0.073749;0.439169;-0.004255
0.054909;-0.000022;-0.000075;0.000161;0;0.000154;0.000153;-0.000004;-0.000084;0.000053;0.000042;-0.000024;0.000087;3.518944;32.085732;-1.945844;4.767969;17.169319;0.456538;-0.055630;0.439171;-0.004256
0.055009;-0.000012;-0.000085;0.000169;-0.000024;0.000150;0.000139;0.000008;-0.000081;0.000062;0.000037;0.000005;0.000084;3.526573;32.093361;-1.938214;4.775599;17.628538;0.455594;-0.041265;0.439171;-0.004256
